PROGRAMA_PPTAL,ACT_OBRA_ACCINV,GRUPO_FN,META,AVAN_FISICO_SEM,UBIGEO,SUBGENERICA_DET,MTO_PIA
2,6,5,18,40,160199,7,0
2,6,5,5,19,20199,20,0
1,2,2,19,6,220199,4,200
2,6,5,20,2,180199,20,0
1,2,2,4,6,30199,19,11499
2,6,5,20,2,180199,15,248
2,6,5,12,51,90199,20,27000
2,6,5,4,16,10199,18,10149
2,6,5,10,20,60199,17,4403
1,2,2,8,6,60199,15,3615
2,6,5,18,40,160199,19,31377
2,6,5,12,51,90199,17,28322
2,6,5,25,4,230199,17,2486
1,2,2,11,6,100199,4,690
1,2,2,12,6,120199,20,0
1,2,2,16,6,190199,17,184
2,6,5,5,19,20199,20,468000
2,6,5,25,4,230199,13,39456
1,2,2,1,6,150101,7,13130
2,6,5,14,26,120101,13,54720
1,2,2,8,6,60199,4,1878
1,2,2,16,6,190199,13,2683
2,6,5,22,12,200199,20,18664
1,2,2,3,6,20199,7,1150
1,4,3,1,6,150101,17,0
2,8,5,1,1,210306,2,0
1,1,1,1,6,150101,20,928800
1,2,2,13,6,130199,4,4300
1,2,2,1,6,150101,19,0
2,6,5,15,10,130101,13,40022
1,0,0,1,6,150101,20,3600
1,2,2,23,6,150101,16,0
1,2,2,18,6,210199,4,400
1,2,2,18,6,210199,22,153627
2,6,5,18,40,160199,19,0
2,6,5,25,4,230199,15,1865
1,2,2,20,6,230199,22,82793
2,6,5,23,61,210199,20,1692000
2,6,5,15,10,130101,19,0
2,6,5,4,16,10199,23,0
1,2,2,10,6,90199,7,12440
2,6,5,21,9,190199,7,16833
1,2,2,13,6,130199,7,5251
1,2,2,9,6,80199,20,0
1,2,2,20,6,230199,7,470
2,6,5,21,9,190199,17,5871
1,2,2,10,6,90199,20,0
1,2,2,1,6,150101,7,6128
2,6,5,8,32,50101,9,33403
2,6,5,10,20,60199,17,2340
2,6,5,8,32,50101,17,0
2,6,5,21,9,190199,17,7604
1,2,2,12,6,120199,7,1840
1,2,2,14,6,160199,17,230
2,6,5,22,12,200199,17,5553
2,6,5,8,32,50101,16,0
1,2,2,7,6,50699,7,1220
2,6,5,24,4,220199,18,2900
2,6,5,10,20,60199,13,18630
1,2,2,21,6,250199,19,1227
2,6,5,13,41,100101,20,65324
2,6,5,20,2,180199,13,309
2,6,5,16,1,140199,7,1220
